Metabolite,Reference,ID,DOI,tCr_u,tCr_std,IU_u,IU_std,mM_u,mM_std,Group,Tissue,Title,GM,GM_Std,WM,WM_Std,N_Total,Female,Male,Age,Age_Std
Glu,2020_lind_40,4,10.1523/JNEUROSCI.2883-19.2020,0.0,0.0,7.07,0.55,7.07,0.55,Control,WM,"Regional Myo-Inositol, Creatine, and Choline Levels Are Higher at Older Age and Scale Negatively with Visuospatial Working Memory: A Cross-Sectional Proton MR Spectroscopy Study at 7 Tesla on Normal Cognitive Ageing.",0.29254,0.0,0.66486,0.0,20.0,10.0,10.0,22.6,2.37
Glu,2020_lind_40,10,10.1523/JNEUROSCI.2883-19.2020,0.0,0.0,6.04,0.7,6.04,0.7,Control,GM,"Regional Myo-Inositol, Creatine, and Choline Levels Are Higher at Older Age and Scale Negatively with Visuospatial Working Memory: A Cross-Sectional Proton MR Spectroscopy Study at 7 Tesla on Normal Cognitive Ageing.",0.6731999999999999,0.0,0.3268,0.0,20.0,10.0,10.0,22.6,2.37
Glu,2020_poletti_11,2,10.3389/fpsyt.2020.590095,0.0,0.0,7.68,1.04,0.0,0.0,Control,GM,Proinflammatory Cytokines Predict Brain Metabolite Concentrations in the Anterior Cingulate Cortex of Patients With Bipolar Disorder,0.7745000000000001,0.0795,0.8101999999999999,0.10279999999999999,49.0,21.0,28.0,33.7,11.14
Glu,2020_sheth_123,2,10.1152/jn.00765.2019,0.0,0.0,2.26,0.13,0.0,0.0,Control,GM,Increased myoinositol in the anterior cingulate cortex of veterans with a history of traumatic brain injury: a proton magnetic resonance spectroscopy study.,0.6990000000000001,0.028999999999999998,0.3,0.028999999999999998,26.0,0.0,0.0,34.3,9.2
Glu,2020_tran_30,1,10.1111/jon.12728,1.5,0.09,0.0,0.0,0.0,0.0,Control,GM,Brain MR Spectroscopy Markers of Encephalopathy Due to Nonalcoholic Steatohepatitis.,0.0,0.0,0.0,0.0,16.0,6.0,10.0,57.8,11.7
Glu,2020_tran_30,2,10.1111/jon.12728,1.23,0.15,0.0,0.0,0.0,0.0,Control,WM,Brain MR Spectroscopy Markers of Encephalopathy Due to Nonalcoholic Steatohepatitis.,0.0,0.0,0.0,0.0,16.0,6.0,10.0,57.8,11.7
Glu,2021_bednarik_15,1,10.3389/fnins.2021.609485,0.0,0.0,10.1,0.28,10.1,0.28,Healthy,GM,Effect of Ketamine on Human Neurochemistry in Posterior Cingulate Cortex: A Pilot Magnetic Resonance Spectroscopy Study at 3 Tesla.,0.7240000000000001,0.0178,0.18600000000000003,0.031,12.0,0.0,12.0,26.0,5
Glu,2021_bednarik_15,2,10.3389/fnins.2021.609485,0.0,0.0,9.87,0.28,9.87,0.28,Healthy,GM,Effect of Ketamine on Human Neurochemistry in Posterior Cingulate Cortex: A Pilot Magnetic Resonance Spectroscopy Study at 3 Tesla.,0.7340000000000001,0.018000000000000002,0.17800000000000002,0.032,12.0,0.0,12.0,26.0,5
Glu,2021_gajdosik_34,1,10.1002/nbm.4538,0.0,0.0,9.2,2.4,9.2,2.4,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,2.0,1.0,32.5,10.2
Glu,2021_gajdosik_34,2,10.1002/nbm.4538,0.0,0.0,9.2,1.1,9.2,1.1,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,1.0,2.0,32.5,10.2
Glu,2021_godlewska_11,4,10.1038/s41398-021-01477-6,0.0,0.0,12.24,0.721,0.0,0.0,Control,GM,Brain glutamate concentration in men with early psychosis: a magnetic resonance spectroscopy case-control study at 7T.,0.8340000000000001,0.013000000000000001,0.09300000000000001,0.3,18.0,0.0,18.0,27.1,0.8
Glu,2021_godlewska_11,5,10.1038/s41398-021-01477-6,0.0,0.0,9.0,2.758,0.0,0.0,Control,WM,Brain glutamate concentration in men with early psychosis: a magnetic resonance spectroscopy case-control study at 7T.,0.377,0.017,0.607,0.015,18.0,0.0,18.0,27.1,0.8
Glu,2021_godlewska_11,6,10.1038/s41398-021-01477-6,0.0,0.0,9.67,0.96,0.0,0.0,Control,WM,Brain glutamate concentration in men with early psychosis: a magnetic resonance spectroscopy case-control study at 7T.,0.345,0.018000000000000002,0.654,0.018000000000000002,18.0,0.0,18.0,27.1,0.8
Glu,2021_steinegger_26,1,10.1111/adb.13027,0.0,0.0,11.89,1.28,11.89,1.28,Control,GM,Neurometabolic alterations in the nucleus accumbens of smokers assessed with H-1 magnetic resonance spectroscopy: The role of glutamate and neuroinflammation,0.8075,0.058899999999999994,0.1925,0.058899999999999994,25.0,0.0,20.0,26.3,4.27
Gly,2021_steinegger_26,1,10.1111/adb.13027,0.0,0.0,6.34,2.0,6.34,2.0,Control,GM,Neurometabolic alterations in the nucleus accumbens of smokers assessed with H-1 magnetic resonance spectroscopy: The role of glutamate and neuroinflammation,0.8075,0.058899999999999994,0.1925,0.058899999999999994,25.0,0.0,20.0,26.3,4.27
GPC,2017_bustillo_43,1,10.1093/schbul/sbw122,0.0,0.0,6.5,1.1,6.5,1.1,Control,WM,Glutamatergic and Neuronal Dysfunction in Gray and White Matter: A Spectroscopic Imaging Study in a Large Schizophrenia Sample.,0.37,0.17,0.63,0.0,97.0,69.0,28.0,37.1,12.3
GPC,2018_caravaggio_28,1,10.1016/j.euroneuro.2017.12.002,0.0,0.0,2.14,0.25,0.0,0.0,Healthy,WM,Reduced insulin sensitivity may be related to less striatal glutamate: An (1)H-MRS study in healthy non-obese humans.,0.2921,0.0391,0.6297999999999999,0.0621,17.0,9.0,8.0,28.35,9.53
GPC,2018_caravaggio_28,2,10.1016/j.euroneuro.2017.12.002,0.0,0.0,2.09,0.28,0.0,0.0,Healthy,WM,Reduced insulin sensitivity may be related to less striatal glutamate: An (1)H-MRS study in healthy non-obese humans.,0.2465,0.028399999999999998,0.6658,0.06709999999999999,17.0,9.0,8.0,28.35,9.53
GPC,2018_chiu_193,4,10.1016/j.schres.2017.07.021,0.0,0.0,1.83,0.24,1.83,0.24,Control,GM,In vivo gamma-aminobutyric acid and glutamate levels in people with first-episode schizophrenia: A proton magnetic resonance spectroscopy study.,0.6076,0.0858,0.2432,0.0821,14.0,5.0,9.0,27.71,5.88
GPC,2018_evans_43,1,10.1038/s41386-018-0057-1,0.29,0.02,0.0,0.0,0.0,0.0,Control,GM,7T (1)H-MRS in major depressive disorder: a Ketamine Treatment Study.,0.6,0.08,0.18,0.04,17.0,12.0,5.0,34.7,2.9
GPC,2018_evans_43,2,10.1038/s41386-018-0057-1,0.3,0.03,0.0,0.0,0.0,0.0,Control,GM,7T (1)H-MRS in major depressive disorder: a Ketamine Treatment Study.,0.6,0.08,0.18,0.04,17.0,12.0,5.0,34.7,2.9
GPC,2018_evans_43,3,10.1038/s41386-018-0057-1,0.28,0.03,0.0,0.0,0.0,0.0,Control,GM,7T (1)H-MRS in major depressive disorder: a Ketamine Treatment Study.,0.6,0.08,0.18,0.04,17.0,12.0,5.0,34.7,2.9
GPC,2018_sheth_276,3,10.1016/j.pscychresns.2018.04.004,0.0,0.0,0.61,0.03,0.0,0.0,Control,GM,Alterations in anterior cingulate cortex myoinositol and aggression in veterans with suicidal behavior: A proton magnetic resonance spectroscopy study.,0.7021999999999999,0.03,0.2978,0.03,24.0,5.0,19.0,36.2,9.7
GPC,2018_sheth_276,4,10.1016/j.pscychresns.2018.04.004,0.0,0.0,0.43,0.01,0.0,0.0,Control,GM,Alterations in anterior cingulate cortex myoinositol and aggression in veterans with suicidal behavior: A proton magnetic resonance spectroscopy study.,0.6139,0.043,0.3861,0.043,24.0,5.0,19.0,36.2,9.7
GPC,2018_soeiro-de-souza_241,1,10.1016/j.jad.2018.08.039,0.0,0.0,2.763,0.396,2.763,0.396,Control,GM,Lithium-associated anterior cingulate neurometabolic profile in euthymic Bipolar I disorder: A (1)H-MRS study.,0.6273,0.04,0.1762,0.04,79.0,85.0,44.0,28.4,8.1
GPC,2018_veeramuthu_25,3,10.1016/j.acra.2018.01.005,0.374,0.049,0.66,0.109,0.0,0.0,Control,WM,Neurometabolites Alteration in the Acute Phase of Mild Traumatic Brain Injury (mTBI): An In Vivo Proton Magnetic Resonance Spectroscopy (1H-MRS) Study.,0.0,0.0,0.0,0.0,13.0,5.0,8.0,27.15,4.88
GPC,2018_white_43,2,10.1038/s41386-018-0027-7,0.0,0.0,1.91,0.19,0.0,0.0,Healthy,GM,"Psychostimulant drug effects on glutamate, Glx, and creatine in the anterior cingulate cortex and subjective response in healthy humans.",0.7,0.06,0.13,0.09,26.0,13.0,13.0,22.3,3.27
GPC,2018_white_43,3,10.1038/s41386-018-0027-7,0.0,0.0,1.82,0.2,0.0,0.0,Healthy,GM,"Psychostimulant drug effects on glutamate, Glx, and creatine in the anterior cingulate cortex and subjective response in healthy humans.",0.7,0.06,0.13,0.09,26.0,13.0,13.0,22.3,3.27
GPC,2018_white_43,1,10.1038/s41386-018-0027-7,0.0,0.0,1.8,0.19,0.0,0.0,Healthy,GM,"Psychostimulant drug effects on glutamate, Glx, and creatine in the anterior cingulate cortex and subjective response in healthy humans.",0.7,0.06,0.13,0.09,26.0,13.0,13.0,22.3,3.27
GPC,2019_bossong_76,1,10.1001/jamapsychiatry.2018.3252,0.0,0.0,2.3,0.4,2.3,0.4,Control,GM,Association of Hippocampal Glutamate Levels With Adverse Outcomes in Individuals at Clinical High Risk for Psychosis.,0.64,0.07,0.33,0.08,30.0,16.0,14.0,24.7,3.8
GPC,2019_bustillo_246,1,10.1016/j.jad.2018.12.064,0.0,0.0,3.2,0.6,3.2,0.6,Control,GM,Proton magnetic resonance spectroscopic imaging of gray and white matter in bipolar-I and schizophrenia.,0.81,0.06,0.16,0.0,45.0,19.0,26.0,39.1,11.9
GPC,2019_bustillo_246,2,10.1016/j.jad.2018.12.064,0.0,0.0,3.1,0.4,3.1,0.4,Control,WM,Proton magnetic resonance spectroscopic imaging of gray and white matter in bipolar-I and schizophrenia.,0.16,0.06,0.81,0.0,45.0,19.0,26.0,39.1,11.9
GPC,2019_bustillo_246,3,10.1016/j.jad.2018.12.064,0.0,0.0,3.5,0.6,3.5,0.6,Control,GM,Proton magnetic resonance spectroscopic imaging of gray and white matter in bipolar-I and schizophrenia.,0.81,0.06,0.16,0.0,45.0,19.0,26.0,39.1,11.9
GPC,2019_bustillo_246,4,10.1016/j.jad.2018.12.064,0.0,0.0,3.4,0.4,3.4,0.4,Control,WM,Proton magnetic resonance spectroscopic imaging of gray and white matter in bipolar-I and schizophrenia.,0.16,0.06,0.81,0.0,45.0,19.0,26.0,39.1,11.9
GPC,2019_davitz_50,9,10.1002/jmri.26718,0.0,0.0,1.8,0.3,1.8,0.3,Control,WM,Quantitative multivoxel proton MR spectroscopy for the identification of white matter abnormalities in mild traumatic brain injury: Comparison between regional and global analysis.,0.0,0.0,0.0,0.0,12.0,4.0,8.0,34.0,0
GPC,2019_davitz_50,10,10.1002/jmri.26718,0.0,0.0,1.5,0.3,1.5,0.3,Control,WM,Quantitative multivoxel proton MR spectroscopy for the identification of white matter abnormalities in mild traumatic brain injury: Comparison between regional and global analysis.,0.0,0.0,0.0,0.0,12.0,4.0,8.0,34.0,0
GPC,2019_pflugrad_14,12,10.1371/journal.pone.0221626,0.0,0.0,1.08,0.15,0.0,0.0,Control,WM,Cerebral metabolite alterations in patients with posttransplant encephalopathy after liver transplantation,0.0,0.0,0.0,0.0,20.0,14.0,6.0,47.8,10.8
GPC,2020_blest-hopley_25,2,10.1111/adb.12827,0.0,0.0,2.444,0.302,0.0,0.0,Control,GM,Adolescent-onset heavy cannabis use associated with significantly reduced glial but not neuronal markers and glutamate levels in the hippocampus.,0.6365,0.058,0.3099,0.098,21.0,12.0,9.0,24.24,4.11
GPC,2021_gajdosik_34,1,10.1002/nbm.4538,0.0,0.0,1.6,0.2,1.6,0.2,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,2.0,1.0,32.5,10.2
GPC,2021_gajdosik_34,2,10.1002/nbm.4538,0.0,0.0,1.8,0.3,1.8,0.3,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,1.0,2.0,32.5,10.2
GPC,2021_gramegna_8,6,10.1002/acn3.51329,0.17,0.02,0.0,0.0,0.0,0.0,Control,WM,Brain MRS correlates with mitochondrial dysfunction biomarkers in MELAS-associated mtDNA mutations,0.0,0.0,0.0,0.0,39.0,0.0,0.0,42.2,0
GSH,2017_marjanska_354,1,10.1016/j.neuroscience.2017.04.035,0.0,0.0,1.07,0.0825,1.07,0.0825,Control,GM,Region-specific aging of the human brain as evidenced by neurochemical profiles measured noninvasively in the posterior cingulate cortex and the occipital lobe using (1)H magnetic resonance spectroscopy at 7T.,0.61,0.041231,0.228,0.037108,17.0,10.0,7.0,21.0,1
GSH,2017_suri_152,1,10.1016/j.neuroimage.2017.03.031,0.139,0.008,0.0,0.0,0.0,0.0,Control,GM,Effect of age and the APOE gene on metabolite concentrations in the posterior cingulate cortex.,0.6,0.03,0.23,0.03,30.0,13.0,17.0,23.87,4.95
GSH,2018_evans_43,1,10.1038/s41386-018-0057-1,0.24,0.02,0.0,0.0,0.0,0.0,Control,GM,7T (1)H-MRS in major depressive disorder: a Ketamine Treatment Study.,0.6,0.08,0.18,0.04,17.0,12.0,5.0,34.7,2.9
GSH,2018_evans_43,2,10.1038/s41386-018-0057-1,0.24,0.03,0.0,0.0,0.0,0.0,Control,GM,7T (1)H-MRS in major depressive disorder: a Ketamine Treatment Study.,0.6,0.08,0.18,0.04,17.0,12.0,5.0,34.7,2.9
GSH,2018_evans_43,3,10.1038/s41386-018-0057-1,0.25,0.03,0.0,0.0,0.0,0.0,Control,GM,7T (1)H-MRS in major depressive disorder: a Ketamine Treatment Study.,0.6,0.08,0.18,0.04,17.0,12.0,5.0,34.7,2.9
GSH,2019_monnig_54,1,10.1093/alcalc/agz062,0.349,0.048,0.0,0.0,0.0,0.0,Control,WM,Cerebral Metabolites on the Descending Limb of Acute Alcohol: A Preliminary 1H MRS Study.,0.0,0.0,0.0,0.0,13.0,8.0,5.0,26.4,2.8
GSH,2019_reid_45,1,10.1093/schbul/sbx190,0.0,0.0,0.75,0.1,0.0,0.0,Control,GM,7T Proton Magnetic Resonance Spectroscopy of the Anterior Cingulate Cortex in First-Episode Schizophrenia.,0.7140000000000001,0.078,0.254,0.077,21.0,5.0,16.0,23.5,4.5
GSH,2019_wang_76,6,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.65,0.22,0.0,0.0,Control,GM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.725,0.12,0.17,0.09,91.0,49.0,42.0,23.3,3.9
GSH,2019_wang_76,7,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.2,0.2,0.0,0.0,Control,WM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.1,0.12,0.88,0.14,91.0,49.0,42.0,23.3,3.9
GSH,2019_wang_76,9,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.21,0.23,0.0,0.0,Control,WM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.27,0.15,0.75,0.11,91.0,49.0,42.0,23.3,3.9
GSH,2019_wang_76,10,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.42,0.23,0.0,0.0,Control,WM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.3,0.18,0.66,0.2,91.0,49.0,42.0,23.3,3.9
GSH,2019_wiegers_62,1,10.1007/s00125-019-4862-9,0.0,0.0,0.94,0.12,0.94,0.12,Control,WM,Elevated brain glutamate levels in type 1 diabetes: correlations with glycaemic control and age of disease onset but not with hypoglycaemia awareness status.,0.265,0.042,0.713,0.047,13.0,7.0,6.0,25.5,5.5
GSH,2020_kumar_25,1,10.1038/s41380-018-0104-7,0.0,0.0,1.75,0.31,1.75,0.31,Control,GM,Glutathione and glutamate in schizophrenia: a 7T MRS study.,0.743,0.067,0.111,0.064,45.0,16.0,29.0,27.89,7.54
GSH,2020_kumar_25,2,10.1038/s41380-018-0104-7,0.0,0.0,1.5,0.17,1.5,0.17,Control,GM,Glutathione and glutamate in schizophrenia: a 7T MRS study.,0.637,0.046,0.285,0.051,45.0,16.0,29.0,27.89,7.54
GSH,2020_kumar_25,3,10.1038/s41380-018-0104-7,0.0,0.0,1.72,0.2,1.72,0.2,Control,GM,Glutathione and glutamate in schizophrenia: a 7T MRS study.,0.6759999999999999,0.051,0.226,0.085,45.0,16.0,29.0,27.89,7.54
GSH,2020_poletti_11,2,10.3389/fpsyt.2020.590095,0.0,0.0,1.54,0.16,0.0,0.0,Control,GM,Proinflammatory Cytokines Predict Brain Metabolite Concentrations in the Anterior Cingulate Cortex of Patients With Bipolar Disorder,0.7745000000000001,0.0795,0.8101999999999999,0.10279999999999999,49.0,21.0,28.0,33.7,11.14
GSH,2021_bednarik_15,1,10.3389/fnins.2021.609485,0.0,0.0,1.7,0.1,1.7,0.1,Healthy,GM,Effect of Ketamine on Human Neurochemistry in Posterior Cingulate Cortex: A Pilot Magnetic Resonance Spectroscopy Study at 3 Tesla.,0.7240000000000001,0.0178,0.18600000000000003,0.031,12.0,0.0,12.0,26.0,5
GSH,2021_bednarik_15,2,10.3389/fnins.2021.609485,0.0,0.0,1.7,0.1,1.7,0.1,Healthy,GM,Effect of Ketamine on Human Neurochemistry in Posterior Cingulate Cortex: A Pilot Magnetic Resonance Spectroscopy Study at 3 Tesla.,0.7340000000000001,0.018000000000000002,0.17800000000000002,0.032,12.0,0.0,12.0,26.0,5
GSH,2021_godlewska_11,4,10.1038/s41398-021-01477-6,0.0,0.0,1.29,0.255,0.0,0.0,Control,GM,Brain glutamate concentration in men with early psychosis: a magnetic resonance spectroscopy case-control study at 7T.,0.8340000000000001,0.013000000000000001,0.09300000000000001,0.3,18.0,0.0,18.0,27.1,0.8
GSH,2021_godlewska_11,5,10.1038/s41398-021-01477-6,0.0,0.0,1.3,0.255,0.0,0.0,Control,WM,Brain glutamate concentration in men with early psychosis: a magnetic resonance spectroscopy case-control study at 7T.,0.377,0.017,0.607,0.015,18.0,0.0,18.0,27.1,0.8
GSH,2021_godlewska_11,6,10.1038/s41398-021-01477-6,0.0,0.0,1.43,2.88,0.0,0.0,Control,WM,Brain glutamate concentration in men with early psychosis: a magnetic resonance spectroscopy case-control study at 7T.,0.345,0.018000000000000002,0.654,0.018000000000000002,18.0,0.0,18.0,27.1,0.8
Lac,2020_lind_40,1,10.1523/JNEUROSCI.2883-19.2020,0.0,0.0,0.66,0.23,0.66,0.23,Control,GM,"Regional Myo-Inositol, Creatine, and Choline Levels Are Higher at Older Age and Scale Negatively with Visuospatial Working Memory: A Cross-Sectional Proton MR Spectroscopy Study at 7 Tesla on Normal Cognitive Ageing.",0.64669,0.0,0.23431000000000002,0.0,20.0,10.0,10.0,22.6,2.37
Lac,2021_gajdosik_34,1,10.1002/nbm.4538,0.0,0.0,2.6,0.6,2.6,0.6,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,2.0,1.0,32.5,10.2
Lac,2021_gajdosik_34,2,10.1002/nbm.4538,0.0,0.0,2.4,0.9,2.4,0.9,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,1.0,2.0,32.5,10.2
mI,2017_bustillo_43,1,10.1093/schbul/sbw122,0.0,0.0,13.1,2.2,13.1,2.2,Control,WM,Glutamatergic and Neuronal Dysfunction in Gray and White Matter: A Spectroscopic Imaging Study in a Large Schizophrenia Sample.,0.37,0.17,0.63,0.0,97.0,69.0,28.0,37.1,12.3
mI,2017_marjanska_354,1,10.1016/j.neuroscience.2017.04.035,0.0,0.0,7.12,0.5772,7.12,0.5772,Control,GM,Region-specific aging of the human brain as evidenced by neurochemical profiles measured noninvasively in the posterior cingulate cortex and the occipital lobe using (1)H magnetic resonance spectroscopy at 7T.,0.61,0.041231,0.228,0.037108,17.0,10.0,7.0,21.0,1
mI,2017_suri_152,1,10.1016/j.neuroimage.2017.03.031,0.749,0.049,0.0,0.0,0.0,0.0,Control,GM,Effect of age and the APOE gene on metabolite concentrations in the posterior cingulate cortex.,0.6,0.03,0.23,0.03,30.0,13.0,17.0,23.87,4.95
mI,2018_burger_185,17,10.1016/j.drugalcdep.2017.11.029,0.988,0.108,0.0,0.0,0.0,0.0,Control,WM,The impact of acute and short-term methamphetamine abstinence on brain metabolites: A proton magnetic resonance spectroscopy chemical shift imaging study.,0.0,0.0,0.0,0.0,22.0,0.0,22.0,28.6,10.2
mI,2018_burger_185,18,10.1016/j.drugalcdep.2017.11.029,0.955,0.125,0.0,0.0,0.0,0.0,Control,WM,The impact of acute and short-term methamphetamine abstinence on brain metabolites: A proton magnetic resonance spectroscopy chemical shift imaging study.,0.0,0.0,0.0,0.0,22.0,0.0,22.0,28.6,10.2
mI,2018_caravaggio_28,1,10.1016/j.euroneuro.2017.12.002,0.0,0.0,4.78,1.05,0.0,0.0,Healthy,WM,Reduced insulin sensitivity may be related to less striatal glutamate: An (1)H-MRS study in healthy non-obese humans.,0.2921,0.0391,0.6297999999999999,0.0621,17.0,9.0,8.0,28.35,9.53
mI,2018_caravaggio_28,2,10.1016/j.euroneuro.2017.12.002,0.0,0.0,4.33,1.39,0.0,0.0,Healthy,WM,Reduced insulin sensitivity may be related to less striatal glutamate: An (1)H-MRS study in healthy non-obese humans.,0.2465,0.028399999999999998,0.6658,0.06709999999999999,17.0,9.0,8.0,28.35,9.53
mI,2018_chiu_193,4,10.1016/j.schres.2017.07.021,0.0,0.0,7.71,1.63,7.71,1.63,Control,GM,In vivo gamma-aminobutyric acid and glutamate levels in people with first-episode schizophrenia: A proton magnetic resonance spectroscopy study.,0.6076,0.0858,0.2432,0.0821,14.0,5.0,9.0,27.71,5.88
mI,2018_egerton_23,7,10.1038/s41380-018-0082-9,0.76,0.1,0.0,0.0,0.0,0.0,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.65,0.03,0.12,0.03,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,8,10.1038/s41380-018-0082-9,0.69,0.1,0.0,0.0,0.0,0.0,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.65,0.03,0.12,0.03,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,9,10.1038/s41380-018-0082-9,0.72,0.03,0.0,0.0,0.0,0.0,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.65,0.03,0.12,0.03,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,10,10.1038/s41380-018-0082-9,0.56,0.1,0.0,0.0,0.0,0.0,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.08,0.06,0.92,0.06,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,11,10.1038/s41380-018-0082-9,0.7,0.09,0.0,0.0,0.0,0.0,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.08,0.06,0.92,0.06,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,12,10.1038/s41380-018-0082-9,0.67,0.1,0.0,0.0,0.0,0.0,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.08,0.06,0.92,0.06,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,1,10.1038/s41380-018-0082-9,0.77,0.14,0.0,0.0,0.0,0.0,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.66,0.03,0.11,0.04,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,2,10.1038/s41380-018-0082-9,0.72,0.06,0.0,0.0,0.0,0.0,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.66,0.03,0.11,0.04,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,3,10.1038/s41380-018-0082-9,0.72,0.07,0.0,0.0,0.0,0.0,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.66,0.03,0.11,0.04,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,4,10.1038/s41380-018-0082-9,0.58,0.1,0.0,0.0,0.0,0.0,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.1,0.06,0.9,0.06,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,5,10.1038/s41380-018-0082-9,0.64,0.1,0.0,0.0,0.0,0.0,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.1,0.06,0.9,0.06,60.0,0.0,0.0,29.0,0
mI,2018_egerton_23,6,10.1038/s41380-018-0082-9,0.65,0.08,0.0,0.0,0.0,0.0,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.1,0.06,0.9,0.06,60.0,0.0,0.0,29.0,0
mI,2018_ford_10,4,10.3390/nu10121860,0.0,0.0,4.73,0.15,0.0,0.0,Control,GM,The Effect of a High-Dose Vitamin B Multivitamin Supplement on the Relationship between Brain Metabolism and Blood Biomarkers of Oxidative Stress: A Randomized Control Trial.,0.7181000000000001,0.038,0.2357,0.0458,14.0,10.0,4.0,43.0,0
mI,2018_ford_10,2,10.3390/nu10121860,0.0,0.0,4.53,0.15,0.0,0.0,Control,GM,The Effect of a High-Dose Vitamin B Multivitamin Supplement on the Relationship between Brain Metabolism and Blood Biomarkers of Oxidative Stress: A Randomized Control Trial.,0.7239,0.0435,0.23550000000000001,0.0489,17.0,11.0,6.0,43.0,0
mI,2018_plitman_273,2,10.1016/j.pscychresns.2018.01.004,0.0,0.0,5.6,1.82,0.0,0.0,Control,WM,Striatal neurometabolite levels in patients with schizophrenia undergoing long-term antipsychotic treatment: A proton magnetic resonance spectroscopy and reliability study.,0.28,0.04,0.64,0.05,11.0,3.0,8.0,40.73,12.95
mI,2018_plitman_273,5,10.1016/j.pscychresns.2018.01.004,0.0,0.0,6.46,1.82,0.0,0.0,Control,WM,Striatal neurometabolite levels in patients with schizophrenia undergoing long-term antipsychotic treatment: A proton magnetic resonance spectroscopy and reliability study.,0.28,0.04,0.64,0.05,11.0,3.0,8.0,40.73,12.95
mI,2018_plitman_273,6,10.1016/j.pscychresns.2018.01.004,0.0,0.0,6.49,1.26,0.0,0.0,Control,WM,Striatal neurometabolite levels in patients with schizophrenia undergoing long-term antipsychotic treatment: A proton magnetic resonance spectroscopy and reliability study.,0.28,0.04,0.64,0.05,11.0,3.0,8.0,40.73,12.95
